COL name VAL loreal paris superliner superstar siyah eyeliner COL market VAL 	COL name VAL loreal paris siyah eyeliner - superliner superstar COL market VAL 	1
COL name VAL loreal paris true match bakim yapan fondoten 15 linen COL market VAL 	COL name VAL loreal paris loreal paris true match bakim yapan fondoten 15 linen COL market VAL 	1
COL name VAL loreal paris likit mat ruj - les macarons ultra matte liquid lipstick 830 blackcurrant crush COL market VAL 	COL name VAL loreal paris les macarons likit mat ruj 830 blackcurrant crush COL market VAL 	1
COL name VAL loreal paris 24 saat kalici ruj infaillible 208 COL market VAL 	COL name VAL loreal paris infallible 208 lasting mauve ruj COL market VAL 	1
COL name VAL loreal paris volume million lashes fatale noir black maskara 94 ml COL market VAL 	COL name VAL loreal paris volume million lashes feline noir black maskara 92 ml COL market VAL 	0
COL name VAL loreal paris loreal true match nude serum fondoten very light fondoten fircasi seti COL market VAL 	COL name VAL loreal paris loreal true match nude serum fondoten light 360 fondoten fircasi COL market VAL 	0
COL name VAL loreal paris true match bakim yapan fondoten 5n sand fondoten COL market VAL 	COL name VAL loreal paris true match bakim yapan fondoten 5r5c5k COL market VAL 	0
COL name VAL loreal paris kas kalemi - brow artist high contour 107 cool brown COL market VAL 	COL name VAL loreal paris brow artist high contour 107 cool brunette - koyu kumral COL market VAL 	1
COL name VAL loreal paris allik - true match le blush no 160 peach COL market VAL 	COL name VAL loreal paris true match allik 160 peach COL market VAL 	1
COL name VAL loreal paris infaillible 24h matte cover yuksek kapatici fondoten 290 golden amber COL market VAL 	COL name VAL loreal paris loreal fondoten paris infaillible 24h matte cover yuksek kapatici fondoten no 290 golden amber COL market VAL 	0
COL name VAL loreal paris siyah telescopic maskara COL market VAL 	COL name VAL loreal paris siyah telescopic maskara COL market VAL 	1
COL name VAL loreal paris ruj no 134 COL market VAL 	COL name VAL loreal paris ruj - color riche lipstick 134 pink panac COL market VAL 	1
COL name VAL loreal paris loreal paris bronze to paradise mat bronzlastirici pudra 02 baby one more tan COL market VAL 	COL name VAL loreal paris loreal paris bronze to paradise mat bronzlastirici pudra - 02 baby one more tan COL market VAL 	0
COL name VAL loreal paris dudak kalemi - infaillible lip pencil 701 stay ultraviolet COL market VAL 	COL name VAL loreal paris infaillible dudak kalemi 701 stay ultraviolet- pembe COL market VAL 	1
